bowler,venue,format,innings,balls,runs_given,wickets,dot_balls,economy,average,dot_pct
A Alexander,Udayana Cricket Ground,T20I,7,78,85.0,6,40,6.54,14.17,51.28
A Alfonso,"Botswana Cricket Association Oval 1, Gaborone",T20I,1,24,15.0,1,16,3.75,15.0,66.67
A Amado,"Meersen, Gent",T20I,2,12,20.0,1,8,10.0,20.0,66.67
A Andrews,Marsa Sports Club,T20I,3,60,61.0,5,29,6.1,12.2,48.33
A Andriani,"Bayuemas Oval, Kuala Lumpur",T20I,1,18,12.0,1,11,4.0,12.0,61.11
A Andriani,"Royal Selangor Club, Kuala Lumpur",T20I,1,24,7.0,1,17,1.75,7.0,70.83
A Andriani,"Selangor Turf Club, Kuala Lumpur",T20I,1,18,17.0,2,12,5.67,8.5,66.67
A Andriani,Vanuatu Cricket Ground,T20I,2,48,29.0,5,29,3.62,5.8,60.42
A Andriani,Vanuatu Cricket Ground (Oval 2),T20I,1,24,2.0,4,22,0.5,0.5,91.67
A Andriani,"YSD-UKM Cricket Oval, Bangi",T20I,1,25,25.0,2,11,6.0,12.5,44.0
A Ashish Reddy,Barabati Stadium,IPL,1,38,64.0,2,6,10.11,32.0,15.79
A Ashish Reddy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,IPL,2,18,20.0,1,6,6.67,20.0,33.33
A Ashish Reddy,Eden Gardens,IPL,1,12,15.0,1,4,7.5,15.0,33.33
A Ashish Reddy,M Chinnaswamy Stadium,IPL,4,47,84.0,2,17,10.72,42.0,36.17
A Ashish Reddy,"MA Chidambaram Stadium, Chepauk",IPL,2,30,47.0,2,7,9.4,23.5,23.33
A Ashish Reddy,"Rajiv Gandhi International Stadium, Uppal",IPL,8,126,200.0,10,38,9.52,20.0,30.16
A Ashish Reddy,Subrata Roy Sahara Stadium,IPL,1,48,64.0,4,12,8.0,16.0,25.0
A Ashish Reddy,Wankhede Stadium,IPL,1,26,22.0,2,16,5.08,11.0,61.54
A Ashok,Dubai International Cricket Stadium,T20I,1,24,28.0,2,9,7.0,14.0,37.5
A Ashok,"Kotambi Stadium, Vadodara",ODI,1,36,55.0,1,11,9.17,55.0,30.56
A Ashok,"McLean Park, Napier",ODI,1,1,2.0,0,0,12.0,2.0,0.0
A Ashok,"Saxton Oval, Nelson",ODI,1,60,63.0,1,23,6.3,63.0,38.33
A Ashokan,Kerava National Cricket Ground,T20I,2,48,58.0,3,15,7.25,19.33,31.25
