striker,format,cluster,average,strike_rate,boundary_pct,dot_pct,runs,player_score
Shahid Afridi,PSL,2,15.79,151.16,19.14,36.3,458,4517.7
HT Tector,Test,1,25.44,44.47,5.34,76.31,458,1996.3
ND Laegsgaard,T20I,2,21.81,148.22,22.01,42.07,458,4811.5
JD Ryder,T20I,0,22.85,127.65,18.16,43.58,457,4286.4
LF Muller,T20I,0,25.39,120.26,15.79,42.37,457,4138.3
AM Kamara,T20I,5,18.28,76.81,7.06,52.44,457,2542.4
IM Vaghela,T20I,5,18.24,87.69,8.08,48.27,456,2819.4
V Ganesan,T20I,0,22.8,105.56,11.34,39.81,456,3576.8
NS Dhaliwal,ODI,1,28.5,57.07,6.26,66.71,456,2394.1
G Stewart,T20I,2,25.33,152.51,22.74,43.48,456,5031.3
Mohammad Nabi,PSL,2,22.75,144.44,19.05,35.87,455,4685.1
DAS Gunaratne,Test,6,50.56,52.85,5.92,69.69,455,3097.4
SR Patel,PSL,0,26.76,121.66,16.31,36.36,455,4329.4
AR Nurse,ODI,0,18.16,100.0,11.45,46.48,454,3237.3
R Chopra,ODI,5,25.22,74.67,8.22,59.05,454,2755.4
GS Ballance,ODI,5,23.89,71.05,5.95,52.74,454,2594.0
AD Russell,BBL,2,23.89,156.01,20.62,40.89,454,4921.3
CS Baugh,Test,1,17.46,48.98,5.93,74.65,454,1798.5
M Gogev,T20I,2,25.22,150.33,22.19,43.05,454,4966.1
LA Pomersbach,BBL,2,34.85,127.61,18.31,43.38,453,4748.1
M McColl,T20I,0,13.73,103.9,11.47,39.68,453,3223.7
AZ Lees,Test,1,25.17,43.06,5.7,79.56,453,1989.9
L Cardoso,T20I,5,15.62,84.2,8.74,53.53,453,2641.1
CT Dhururu,T20I,5,14.58,81.15,7.9,49.91,452,2555.3
BJ Webster,Test,6,41.09,61.66,7.09,66.03,452,2994.4
S Jafta,ODI,5,16.74,71.75,8.89,61.59,452,2404.9
D Wiese,CPL,0,20.55,136.97,16.67,35.45,452,4345.7
Khawar Ali,T20I,0,16.14,101.57,13.71,50.56,452,3275.5
CAK Walton,PSL,2,21.48,139.63,17.96,34.67,451,4514.5
Saeed Ajmal,Test,1,11.56,41.68,4.44,77.08,451,1376.0
C Karunaratne,ODI,5,20.5,78.43,6.96,53.04,451,2632.0
Aslam Khan,T20I,2,17.35,151.85,26.26,52.19,451,4832.4
MF Maharoof,Test,1,18.04,38.48,4.95,80.38,451,1608.6
