striker,bowler,format,balls_faced,runs,dismissals,fours,sixes,dot_balls,strike_rate,average
A Dercksen,KA Knight,ODI,10,18,0,2,1,4,180.0,18.0
A Dercksen,L Filer,Test,24,7,1,1,0,20,29.17,7.0
A Dercksen,LK Bell,ODI,19,10,0,1,0,12,52.63,10.0
A Dercksen,LK Bell,T20I,15,19,1,3,0,5,126.67,19.0
A Dercksen,LK Bell,Test,25,14,1,3,0,20,56.0,14.0
A Dercksen,M Madara,ODI,19,35,0,3,2,3,184.21,35.0
A Dercksen,Marufa Akter,T20I,14,10,0,2,0,10,71.43,10.0
A Dercksen,N Shree Charani,ODI,19,14,0,1,0,9,73.68,14.0
A Dercksen,N Shree Charani,T20I,14,15,1,2,0,5,107.14,15.0
A Dercksen,NH Patel,ODI,17,12,0,1,0,9,70.59,12.0
A Dercksen,NR Sciver-Brunt,ODI,24,19,0,3,0,15,79.17,19.0
A Dercksen,NR Sciver-Brunt,Test,20,14,0,3,0,15,70.0,14.0
