striker,year,format,runs,balls_faced,dismissals,matches,fours,sixes,average,strike_rate,lag1_runs,lag1_avg,lag1_sr,lag1_matches,career_runs_to_date,predicted_runs,shap_lag1_runs,shap_lag1_avg,shap_lag1_sr,shap_lag1_matches,shap_career_runs_to_date,shap_base_value
A Ikuzwe,2026,T20I,101,173,10,13,6,0,10.1,58.38,169.0,21.12,111.18,13.0,386,128.0,-1.7688625403644842,-9.512754775650171,-4.321447309869635,-10.251474423119074,-16.60599217136253,170.64744859122928
A Kamboj,2026,IPL,116,76,2,4,6,8,58.0,152.63,25.0,6.25,119.05,5.0,27,41.0,-123.88632648457977,3.016274352691411,-4.748180788456265,3.011139657196766,-7.052924763868298,170.64744859122928
A Kanukuntla,2026,T20I,60,83,4,4,0,1,15.0,72.29,77.0,12.83,46.95,8.0,77,83.0,-67.52726293247797,-2.0646409376425354,4.937857127230555,-13.623892596712563,-9.808561195416697,170.64744859122928
A Kato-Stafford,2026,T20I,223,214,5,5,18,0,44.6,104.21,98.0,19.6,73.13,4.0,98,165.0,-16.3502718594712,-7.863508773263544,3.4418778097794323,25.49163213426957,-9.951338441827401,170.64744859122928
A Khaka,2026,ODI,2,10,1,1,0,0,2.0,20.0,36.0,12.0,48.0,8.0,144,86.0,-87.77896812076303,-5.372198578601623,3.5251834271795444,-5.177495624362037,10.013628139332964,170.64744859122928
A King,2026,ODI,27,18,0,2,2,1,27.0,150.0,106.0,21.2,82.17,8.0,268,105.0,-33.87245594564258,-6.070604037366101,3.0351341144898965,-13.014426600785507,-15.46989670460074,170.64744859122928
A Kirschbaum,2026,T20I,159,137,5,6,11,3,31.8,116.06,51.0,25.5,108.51,3.0,261,121.0,-76.33007139231802,-1.9489272606611407,-5.030160972573436,21.319488914377757,12.766796027730729,170.64744859122928
A Kohli,2026,T20I,69,88,3,4,2,0,23.0,78.41,31.0,6.2,83.78,6.0,101,58.0,-105.21223753292661,0.4647057557754078,1.533914276038489,-2.35946097071985,-7.005315775792972,170.64744859122928
A Kontopirakis,2026,T20I,149,156,7,8,12,4,21.29,95.51,73.0,12.17,89.02,7.0,73,67.0,-79.92355340066383,-5.289003839562876,0.6762873568251251,-7.896854343382986,-11.177587561180951,170.64744859122928
A Kourkoulou,2026,T20I,12,42,5,5,0,0,2.4,28.57,14.0,4.67,38.89,5.0,14,33.0,-135.39033225799562,0.36332177109477337,4.612050183719814,3.1953461705251973,-10.695773381083221,170.64744859122928
A Limdawala,2026,T20I,19,40,3,3,0,0,6.33,47.5,357.0,18.79,96.75,19.0,460,246.0,121.55576231406843,-12.622762750854315,-5.181173171101997,-9.067076759854029,-19.365846928398458,170.64744859122928
A Lister,2026,T20I,190,164,11,13,25,2,17.27,115.85,87.0,10.88,88.78,9.0,563,98.0,-71.1428931610733,-4.125243348015566,1.1678199738756876,-14.540306688076093,15.980184058508016,170.64744859122928
A Lumbe,2026,T20I,74,163,5,6,9,0,14.8,45.4,27.0,9.0,60.0,5.0,27,42.0,-124.20910839047774,0.6442256111697258,0.8305781385675587,2.502154578776937,-8.839951525996465,170.64744859122928
A Makri,2026,T20I,98,165,10,9,6,0,9.8,59.39,174.0,29.0,74.36,8.0,253,145.0,4.950542341347882,-0.9624951532807929,1.5352019321733674,-9.6205980163585,-21.412275553249493,170.64744859122928
A Mansale,2026,T20I,109,107,6,6,7,5,18.17,101.87,258.0,43.0,136.51,7.0,572,241.0,62.30744934453429,7.8641866098351745,-7.174684051532408,4.325413926827864,3.214175324195542,170.64744859122928
