bowler,format,cluster,wickets,economy,average,dot_pct
G Wareham,T20I,2,81,6.13,15.1,42.94
Nahida Akter,ODI,1,81,3.94,20.3,59.7
K Kunwar,T20I,7,81,4.21,9.93,64.25
S Sreesanth,ODI,1,81,5.87,29.04,56.01
Yasim Murtaza,T20I,2,81,6.43,18.77,43.55
SM Boland,BBL,3,80,8.44,23.04,37.02
Hasan Ali,T20I,0,80,8.59,20.5,37.87
MNM Aslam,T20I,2,80,6.16,18.16,44.88
JA Warrican,Test,5,80,3.04,27.95,70.83
HMRKB Herath,ODI,1,79,4.42,28.2,50.61
A Nel,Test,5,79,3.06,32.0,76.75
JR Hazlewood,T20I,2,79,7.36,20.41,47.79
M Theekshana,ODI,1,79,4.42,22.9,56.64
GJ Maxwell,ODI,6,79,5.48,44.54,44.57
MA Wood,ODI,6,79,5.57,38.67,53.32
RJ Sidebottom,Test,5,79,2.77,27.43,78.85
MVT Fernando,Test,5,79,3.52,31.73,71.76
Aqib Iqbal,T20I,2,79,7.05,19.23,48.49
Mohammad Amir,T20I,2,79,7.12,19.95,47.03
TS Rogers,BBL,3,79,8.37,22.7,39.46
Saad Bin Zafar,T20I,2,79,6.16,16.85,46.22
AR Patel,ODI,1,78,4.49,31.55,55.75
Poonam Yadav,T20I,2,78,5.8,15.51,39.97
XC Bartlett,BBL,3,78,8.68,22.23,40.82
JC Archer,IPL,3,78,8.03,25.22,45.13
RS Gayakwad,ODI,1,78,3.89,20.42,60.13
NR Sciver,T20I,2,78,6.44,19.04,43.46
OE Robinson,Test,5,78,2.7,22.33,77.23
AH Maqsood,T20I,2,78,5.67,15.76,45.2
TA Boult,T20I,0,78,7.76,22.31,45.69
JM Kerr,ODI,1,78,4.41,22.68,59.4
A Bohara,T20I,0,77,7.42,18.82,35.01
SR Taylor,ODI,1,77,4.51,30.68,55.0
DAJ Bracewell,Test,5,77,3.31,37.31,74.19
CA Young,ODI,1,77,5.4,23.71,58.14
Imad Wasim,T20I,2,77,6.24,19.77,42.62
Mohammed Siraj,ODI,1,77,5.05,24.01,62.72
J Botha,ODI,6,77,4.6,36.12,48.17
SC Williams,ODI,6,77,5.04,45.58,48.89
Imad Wasim,CPL,2,77,6.5,20.91,45.12
Salma Khatun,T20I,7,77,5.1,15.05,52.6
R Rampaul,CPL,0,77,8.4,20.16,43.91
A Mishra,Test,5,76,3.14,35.72,71.32
AM Fernando,Test,1,76,3.58,27.63,70.34
Syed Aziz,T20I,2,76,7.25,20.03,46.39
TT Bresnan,Test,5,76,3.02,31.01,77.58
RD Chahar,IPL,3,76,7.77,28.89,35.16
