striker,format,recent_runs,recent_avg,recent_sr,career_avg,career_sr,form_score,form_label
IR James,T20I,14,14.0,155.56,14.0,155.56,100.0,Good
IS Sodhi,T20I,55,27.5,140.13,9.0,108.97,217.1,On Fire
IY Levy,T20I,6,6.0,50.0,6.0,50.0,100.0,Good
Ibrahim Altinoluk,T20I,0,0.0,0.0,0.0,0.0,0.0,
Ibrahim Karim,T20I,3,3.0,50.0,3.0,50.0,100.0,Good
Ibrahim Kpaka,T20I,45,5.62,83.33,5.62,83.33,100.0,Good
Ibrahim Kursad Dalyan,T20I,143,20.43,99.31,19.0,96.2,105.4,Good
Ibrahim Rahimi,T20I,463,21.045,163.84,19.83,163.57,103.1,Good
Ibrar Ahmad,T20I,51,23.5,138.33,17.0,141.67,117.9,On Fire
Idan Varsulkar,T20I,18,6.0,90.0,6.0,90.0,100.0,Good
Idrees Ul Haque,T20I,38,7.6,97.44,19.75,126.06,57.9,Poor
Iftikhar Ahmed,CPL,63,21.0,108.62,21.0,108.62,100.0,Good
Iftikhar Ahmed,PSL,160,40.8,148.135,23.92,133.63,140.7,On Fire
Iftikhar Kankhel,T20I,1,0.5,12.5,0.5,12.5,100.0,Good
Ihsanullah Wafa,T20I,65,16.25,130.0,16.25,130.0,100.0,Good
Ijaz Hussain,T20I,5,5.0,71.43,9.38,90.37,66.2,Average
Ikramullah Khan,T20I,214,19.45,112.63,17.35,116.05,104.6,Good
Ilenia Sims,T20I,304,20.195,92.755,23.89,90.91,93.3,Good
Ilyas Ataullah,T20I,213,26.625,116.49,19.44,124.4,115.3,On Fire
Ilyas Cetin,T20I,13,6.5,86.67,6.5,86.67,100.0,Good
Imad Wasim,CPL,137,27.4,115.13,25.32,123.78,100.6,Good
Imad Wasim,PSL,122,14.934999999999999,112.57,26.68,136.54,69.2,Average
Imal Zuwak,T20I,423,20.744999999999997,97.7,17.66,102.17,106.5,Good
Imam-ul-Haq,ODI,14,4.67,31.11,45.3,82.97,23.9,Poor
Imam-ul-Haq,Test,232,29.0,59.379999999999995,33.33,47.43,106.1,Good
Imran Ahmed Kaneez,T20I,11,5.5,40.74,2.4,34.29,174.0,On Fire
Imran Ameer,T20I,75,12.5,78.575,20.33,110.91,66.2,Average
Imran Anwar,T20I,311,20.7,138.36,17.34,125.88,114.6,On Fire
Imran Khan,T20I,4,1.5,75.0,3.33,73.17,73.8,Average
Imran Tahir,CPL,10,10.0,125.0,8.5,108.97,116.2,On Fire
Imtiaz Khan,T20I,1,1.0,100.0,1.0,100.0,100.0,Good
Inshaf Farook,T20I,58,14.5,90.62,14.5,90.62,100.0,Good
Iqra Sahar,T20I,13,5.25,49.39,4.46,58.0,101.4,Good
Iram Javed,T20I,95,13.57,110.47,10.74,85.24,128.0,On Fire
Irdina Beh Nabil,T20I,82,11.22,76.26,8.6,62.77,126.0,On Fire
Irfan Hafejee,T20I,54,21.75,118.75,17.12,83.86,134.3,On Fire
Irfan Khan,ODI,0,0.0,0.0,8.0,64.86,0.0,
Irfan Khan,PSL,314,25.21,128.605,27.48,132.95,94.2,Good
Irfan Khan,T20I,36,12.0,116.13,23.62,135.0,68.4,Average
Irfan Ringku,T20I,379,25.27,149.21,25.27,149.21,100.0,Good
Irfan Safi,T20I,145,14.5,110.69,14.5,110.69,100.0,Good
Isa Zaroo,T20I,301,32.45,156.185,23.11,132.91,129.0,On Fire
Isaiah O'Brien,T20I,30,30.0,272.73,30.0,272.73,100.0,Good
Ishan Kishan,IPL,956,39.2,167.505,31.3,143.54,121.0,On Fire
Ishan Kishan,ODI,15,7.5,75.0,39.17,101.69,46.5,Poor
Ishan Kishan,T20I,812,36.91,176.91,29.78,146.31,122.4,On Fire
Ishma Tanjim,ODI,24,8.0,42.11,8.0,42.11,100.0,Good
Ishtiaq Ahmad,T20I,37,12.33,148.0,8.14,146.15,126.4,On Fire
Issa Al Balushi,T20I,16,8.0,72.73,8.0,72.73,100.0,Good
Itibarshah Deedar,T20I,5,5.0,125.0,9.0,81.82,104.2,Good
Ivy Yeboah,T20I,0,0.0,0.0,0.0,0.0,0.0,
Izaz Ali,T20I,179,20.25,122.725,15.77,124.24,113.6,On Fire
Izhar Hussain,T20I,49,16.33,89.09,12.5,83.33,118.8,On Fire
J Abwom,T20I,30,10.0,55.56,10.0,55.56,100.0,Good
J Ajiambo,T20I,2,2.0,22.22,3.0,40.0,61.1,Average
J Andrew,CPL,156,22.29,113.04,23.67,112.25,97.4,Good
J Andrew,ODI,8,4.0,66.67,4.0,66.67,100.0,Good
J Andrew,T20I,78,15.6,97.5,15.6,97.5,100.0,Good
J Andujar,T20I,42,42.0,168.0,42.0,168.0,100.0,Good
J Baguma,T20I,2,1.0,50.0,8.0,74.07,40.0,Poor
J Baker,T20I,846,49.715,136.775,40.04,130.17,114.6,On Fire
J Baleicikoibia,T20I,50,8.33,58.82,10.09,70.7,82.9,Average
J Bangura,T20I,213,13.120000000000001,85.38,12.74,78.64,105.8,Good
J Blades,ODI,0,0.0,0.0,0.0,0.0,0.0,
J Blades,T20I,5,5.0,38.46,5.0,38.46,100.0,Good
J Brown,BBL,393,28.07,142.095,26.49,148.56,100.8,Good
J Buchanan,T20I,1,1.0,25.0,5.5,68.75,27.3,Poor
J Bulele,T20I,123,24.6,91.79,30.12,95.07,89.1,Good
J Butler,T20I,255,30.715,117.25,28.24,114.39,105.6,Good
J Byrappa,T20I,118,16.86,95.93,16.86,95.93,100.0,Good
J Campbell,ODI,8,8.0,53.33,8.0,53.33,100.0,Good
J Campbell,Test,37,18.5,56.92,18.5,56.92,100.0,Good
J Charles,CPL,212,21.2,144.22,28.52,132.32,91.7,Good
J Charles,T20I,122,16.875,107.595,22.48,128.03,79.6,Average
J Chirila,T20I,30,30.0,54.55,30.0,54.55,100.0,Good
J Chunquin,T20I,2,2.0,25.0,2.0,25.0,100.0,Good
J Clough,T20I,17,17.0,106.25,13.0,89.66,124.6,On Fire
J Coetzee,T20I,74,14.165,87.77000000000001,23.62,108.31,70.5,Average
J Cutinho,T20I,28,5.6,68.29,5.6,68.29,100.0,Good
J Da Silva,CPL,7,7.0,116.67,25.33,104.4,69.7,Average
J Da Silva,Test,20,20.0,35.71,24.67,40.94,84.1,Average
J Daley,T20I,87,29.0,117.57,29.0,117.57,100.0,Good
J Dowling,T20I,10,4.25,41.665,3.33,43.48,111.7,On Fire
J Dzulfikar,T20I,56,11.2,71.79,11.45,77.3,95.3,Good
J Edmiston,T20I,22,22.0,59.46,22.0,59.46,100.0,Good
